corpus_row,google_volume_id,title,subtitle,author,isbn_13,canonical_isbn_13,description,publisher,publication_year,categories,language,cover_url,quality_tier,relevance_tier,keep_source,duplicate_group,collapsed_count
add1,VcouDwAAQBAJ,Thinking in Bets,Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,9780735216365,9780735216365,"NATIONAL BESTSELLER • Poker champion turned business consultant Annie Duke teaches you how to get comfortable with uncertainty and make better decisions as a result in “the ultimate guide to thinking about risk” (Charles Duhigg, author of The Power of Habit). “A big favorite among investors these days.”—The New York Times “Outstanding.”—Jason Zweig, The Wall Street Journal In Super Bowl XLIX, Seahawks coach Pete Carroll made one of the most controversial calls in football history: With 26 seconds remaining, and trailing by four at the Patriots' one-yard line, he called for a pass instead of a hand off to his star running back. The pass was intercepted and the Seahawks lost. Critics called it the dumbest play in history. But was the call really that bad? Or did Carroll actually make a great move that was ruined by bad luck? Even the best decision doesn't yield the best outcome every time. There's always an element of luck that you can't control, and there is always information that is hidden from view. So the key to long-term success (and avoiding worrying yourself to death) is to think in bets: How sure am I? What are the possible ways things could turn out? What decision has the highest odds of success? Did I land in the unlucky 10% on the strategy that works 90% of the time? Or is my success attributable to dumb luck rather than great decision making? Annie Duke, a former World Series of Poker champion turned business consultant, draws on examples from business, sports, politics, and (of course) poker to share tools anyone can use to embrace uncertainty and make better decisions. For most people, it's difficult to say ""I'm not sure"" in a world that values and, even, rewards the appearance of certainty. But professional poker players are comfortable with the fact that great decisions don't always lead to great outcomes and bad decisions don't always lead to bad outcomes. By shifting your thinking from a need for certainty to a goal of accurately assessing what you know and what you don't, you'll be less vulnerable to reactive emotions, knee-jerk biases, and destructive habits in your decision making. You'll become more confident, calm, compassionate and successful in the long run.",Penguin,2018,Business & Economics,en,https://books.google.com/books/content?id=VcouDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add1,1
add2,45OmCQAAQBAJ,Superforecasting,The Art and Science of Prediction,"Philip Tetlock, Dan Gardner",9781448166596,9781448166596,"The international bestseller 'A manual for thinking clearly in an uncertain world. Read it.' Daniel Kahneman, author of Thinking, Fast and Slow _________________________ What if we could improve our ability to predict the future? Everything we do involves forecasts about how the future will unfold. Whether buying a new house or changing job, designing a new product or getting married, our decisions are governed by implicit predictions of how things are likely to turn out. The problem is, we're not very good at it. In a landmark, twenty-year study, Wharton professor Philip Tetlock showed that the average expert was only slightly better at predicting the future than a layperson using random guesswork. Tetlock's latest project – an unprecedented, government-funded forecasting tournament involving over a million individual predictions – has since shown that there are, however, some people with real, demonstrable foresight. These are ordinary people, from former ballroom dancers to retired computer programmers, who have an extraordinary ability to predict the future with a degree of accuracy 60% greater than average. They are superforecasters. In Superforecasting, Tetlock and his co-author Dan Gardner offer a fascinating insight into what we can learn from this elite group. They show the methods used by these superforecasters which enable them to outperform even professional intelligence analysts with access to classified data. And they offer practical advice on how we can all use these methods for our own benefit – whether in business, in international affairs, or in everyday life. _________________________ 'The techniques and habits of mind set out in this book are a gift to anyone who has to think about what the future might bring. In other words, to everyone.' Economist 'A terrific piece of work that deserves to be widely read . . . Highly recommended.' Independent 'The best thing I have read on predictions . . . Superforecasting is an indispensable guide to this indispensable activity.' The Times",Random House,2015,Social Science,en,https://books.google.com/books/content?id=45OmCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add2,1
add3,rkOUnAEACAAJ,Antifragile,Things that Gain from Disorder,Nassim Nicholas Taleb,9780812985924,9780812985924,"Proporcionado por el editor : ""Examples of Antifragility: When you stress your body by lifting a big weight, your body gets stronger. New York has the best restaurants in the world because particular restaurants are always going bust, making the aggregate stronger and stronger, or antifragile. Evolution is antifragile. Certain business and investment strategies are antifragile. Older things tend to be more antifragile than newer ones - because they've been exposed to more Black Swans""",,2012,Complexity (Philosophy).,en,https://books.google.com/books/content?id=rkOUnAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_A,high,manual_add,add3,1
add4,GSBcQVd3MqYC,The Black Swan: Second Edition,"The Impact of the Highly Improbable Fragility""",Nassim Nicholas Taleb,9780679604181,9780679604181,"The most influential book of the past seventy-five years: a groundbreaking exploration of everything we know about what we don’t know, now with a new section called “On Robustness and Fragility.” A black swan is a highly improbable event with three principal characteristics: It is unpredictable; it carries a massive impact; and, after the fact, we concoct an explanation that makes it appear less random, and more predictable, than it was. The astonishing success of Google was a black swan; so was 9/11. For Nassim Nicholas Taleb, black swans underlie almost everything about our world, from the rise of religions to events in our own personal lives. Why do we not acknowledge the phenomenon of black swans until after they occur? Part of the answer, according to Taleb, is that humans are hardwired to learn specifics when they should be focused on generalities. We concentrate on things we already know and time and time again fail to take into consideration what we don’t know. We are, therefore, unable to truly estimate opportunities, too vulnerable to the impulse to simplify, narrate, and categorize, and not open enough to rewarding those who can imagine the “impossible.” For years, Taleb has studied how we fool ourselves into thinking we know more than we actually do. We restrict our thinking to the irrelevant and inconsequential, while large events continue to surprise us and shape our world. In this revelatory book, Taleb will change the way you look at the world, and this second edition features a new philosophical and empirical essay, “On Robustness and Fragility,” which offers tools to navigate and exploit a Black Swan world. Taleb is a vastly entertaining writer, with wit, irreverence, and unusual stories to tell. He has a polymathic command of subjects ranging from cognitive science to business to probability theory. Elegant, startling, and universal in its applications, The Black Swan is a landmark book—itself a black swan.",Random House,2010,Business & Economics,en,https://books.google.com/books/content?id=GSBcQVd3MqYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add4,1
add5,jOLBEAAAQBAJ,The Trading Game,The No. 1 Sunday Times bestseller,Gary Stevenson,9781802062748,9781802062748,"*NO.1 SUNDAY TIMES BESTSELLER* 'An unforgettable story of greed, financial madness and moral decay' Rory Stewart 'Hilarious, shocking and deeply sad — often in the same sentence' Sunday Times 'The Wolf of Wall Street with a moral compass' Irvine Welsh An outrageous, white-knuckle journey to the dark heart of an intoxicating world - from someone who survived the trading game and then blew it all wide open 'If you were gonna rob a bank, and you saw the vault door there, left open, what would you do? Would you wait around? Ever since he was a kid, kicking broken footballs on the streets of East London in the shadow of Canary Wharf's skyscrapers, Gary wanted something better. Something a whole lot bigger. Then he won a competition run by a bank: 'The Trading Game'. The prize: a golden ticket to a new life, as the youngest trader in the whole city. A place where you could make more money than you'd ever imagined. Where your colleagues are dysfunctional maths geniuses, overfed public schoolboys and borderline psychopaths, yet they start to feel like family. Where soon you're the bank's most profitable trader, dealing in nearly a trillion dollars. A day. Where you dream of numbers in your sleep - and then stop sleeping at all. But what happens when winning starts to feel like losing? When the easiest way to make money is to bet on millions becoming poorer and poorer - and, as the economy starts slipping off a precipice, your own sanity starts slipping with it? You want to stop, but you can't. Because nobody ever leaves. Would you stick, or quit? Even if it meant risking everything?",Random House,2024,Biography & Autobiography,en,https://books.google.com/books/content?id=jOLBEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add5,1
add6,fYdRAAAAQBAJ,The Dao of Capital,Austrian Investing in a Distorted World,Mark Spitznagel,9781118416679,9781118416679,"As today's preeminent doomsday investor Mark Spitznagel describes his Daoist and roundabout investment approach, ""one gains by losing and loses by gaining."" This is Austrian Investing, an archetypal, counterintuitive, and proven approach, gleaned from the 150-year-old Austrian School of economics, that is both timeless and exceedingly timely. In The Dao of Capital, hedge fund manager and tail-hedging pioneer Mark Spitznagel—with one of the top returns on capital of the financial crisis, as well as over a career—takes us on a gripping, circuitous journey from the Chicago trading pits, over the coniferous boreal forests and canonical strategists from Warring States China to Napoleonic Europe to burgeoning industrial America, to the great economic thinkers of late 19th century Austria. We arrive at his central investment methodology of Austrian Investing, where victory comes not from waging the immediate decisive battle, but rather from the roundabout approach of seeking the intermediate positional advantage (what he calls shi), of aiming at the indirect means rather than directly at the ends. The monumental challenge is in seeing time differently, in a whole new intertemporal dimension, one that is so contrary to our wiring. Spitznagel is the first to condense the theories of Ludwig von Mises and his Austrian School of economics into a cohesive and—as Spitznagel has shown—highly effective investment methodology. From identifying the monetary distortions and non-randomness of stock market routs (Spitznagel's bread and butter) to scorned highly-productive assets, in Ron Paul's words from the foreword, Spitznagel ""brings Austrian economics from the ivory tower to the investment portfolio."" The Dao of Capital provides a rare and accessible look through the lens of one of today's great investors to discover a profound harmony with the market process—a harmony that is so essential today.",John Wiley & Sons,2013,Business & Economics,en,https://books.google.com/books/content?id=fYdRAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add6,1
add7,_zR1tMbpKMsC,The New Market Wizards,Conversations with America's Top Traders,Jack D. Schwager,9781118538784,9781118538784,"Praise for THE NEW MARKET WIZARDS ""Jack Schwager simply writes the best books about trading I've ever read. These interviews always give me a lot to think about. If you like learning about traders and trading, you'll find that reading this book is time well spent."" -Richard Dennis, President, The Dennis Trading Group, Inc. ""Jack Schwager's deep knowledge of the markets and his extensive network of personal contacts throughout the industry have set him apart as the definitive market chronicler of our age."" -Ed Seykota ""Very interesting indeed!"" -John Train, author of The Money Masters ""Successful trading demands longtime experience because it requires firsthand knowledge. If there is a shortcut to this requirement, however, it is in reading about the experiences of others. Jack Schwager's book provides that shortcut. If you find yourself sweating upon occasion as you read, then you're as close to the trading experience as you can get without actually doing it yourself."" -Robert R. Prechter, Jr., editor, The Elliott Wave Theorist THE NEW MARKET WIZARDS Some traders distinguish themselves from the herd. These supertraders make millions of dollars-sometimes in hours-and consistently outperform their peers. As he did in his acclaimed national bestseller, Market Wizards, Jack Schwager interviews a host of these supertraders, spectacular winners whose success occurs across a spectrum of financial markets. These traders use different methods, but they all share an edge. How do they do it? What separates them from the others? What can they teach the average trader or investor? In The New Market Wizards, these wildly successful traders relate the financial strategies that have rocketed them to success, as well as the embarrassing losses that have proven them all too human. Meet the Wizards of Wall Street: * Stan Druckenmiller, who, as manager of the Soros Quantum Fund, realized an average annual return of more than 38 percent on assets ranging between $2.0 and $3.5 billion * William Eckhardt, a mathematician who, in collaboration with trader Richard Dennis, selected and trained the now-legendary circle known as the Turtles * Bill Lipschutz, a former architect who, for eight years, was Salomon Brothers' largest and most successful currency trader * Blair Hull, a one-time blackjack player who began an options trading company with Asking the questions that readers with an interest in the financial markets would love to pose to the financial superstars, and filled with candid appraisals, The New Market Wizards takes its place as a classic.",John Wiley & Sons,2012,Business & Economics,en,https://books.google.com/books/content?id=_zR1tMbpKMsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add7,1
add8,5YP_IemEPHcC,Street Smarts,Adventures on the Road and in the Markets,Jim Rogers,9780307986092,9780307986092,"Wall Street legend and bestselling author Jim Rogers offers investing insights and economic, political, and social analysis, drawing on lessons and observations from his lifetime in the markets. Jim Rogers, whose entertaining accounts of his travels around the world--studying the markets from Russia to Singapore from the ground up--has enthralled readers, investors and Wall Street aficionados for decades. In his engaging memoir Street Smarts, Rogers offers pithy commentary from a lifetime of adventure, from his early years growing up a naïve kid in Demopolis, Alabama, to his fledgling career on Wall Street, to his cofounding of the wildly successful Quantum Fund. In Street Smarts, Rogers takes us through the highlights of his life in the financial markets, from his school days at Yale and Oxford--where despite the fact that he didn’t have enough money to afford the appropriate pair of shoes, he coxed the crew and helped to win the Oxford-Cambridge Boat Race as well as the Thames Cup, the first of his three Guiness World Records--to his first heady taste of Wall Street in the mid-1960s, and his years helping to run the most successful hedge fund on Wall Street. In the course of his new book, Rogers offers often surprising observations on how the world works–-and what trends he sees in the future. The age of Wall Street, Rogers claims, when the finance industry drove 25% of America’s growth, is over. Tomorrow’s economy will be driven by those who make things--food, energy, goods and consumables. He explains why Asia will be the dominant economic force in the twenty-first century, and discusses why America and the European Union are in decline, and what we need to do to right our economy and society.",Crown Currency,2013,Business & Economics,en,https://books.google.com/books/content?id=5YP_IemEPHcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add8,1
add9,kQD0EAAAQBAJ,A Complete Guide To Volume Price Analysis,Read the book.......then read the market,Anna Coulling,,,"What do Charles Dow, Jesse Livermore, and Richard Ney have in common? They used volume and price to anticipate where the market was heading next and so built their vast fortunes. For them, it was the ticker tape; for us, it is the trading screen. The results are the same and can be for you, too. I make no bones about believing I was lucky to start my own trading journey using volume. To me it just made sense. The logic was inescapable. And for me, the most powerful reason is very simple. Volume is a rare commodity in trading - a leading indicator. The second and only other leading indicator is price. Everything else is lagged. There's ONLY one question! As traders, investors, or speculators, all we are trying to do is to forecast where the market is heading next. Is there any better way than to use the only two leading indicators we have at our disposal, namely volume and price? In isolation, each tells us very little. After all, volume is just that, no more no less. A price is a price. However, combine these two forces, and the result is a powerful analytical approach to forecasting market direction with confidence. What you will discover This book will teach you all you need to know from first principles. So whether you're a day trader or a longer-term investor in any market, instrument, or timeframe, this book is the perfect platform to set you on the road to success and join those iconic traders of the past. All you need to succeed is a chart with volume and price…simple.",Marinablu International Ltd,2024,Business & Economics,en,https://books.google.com/books/content?id=kQD0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,manual_add,add9,1
